CCG19CD,CCG19NM,CTYUA19CD,CTYUA19NM,CCG_AREA_HA,CTYUA_AREA_HA,CCG_CTYUA_AREA_PROP,PCDS_IN_CCG,PCDS_IN_CTYUA,CCG_CTYUA_PCD_PROP
E38000024,NHS Bury CCG,E08000002,Bury,9939.015372,9946.01269,1,4956,4956,1
E38000217,NHS Manchester CCG,E08000003,Manchester,11554.24605,11564.82324,1,13995,13997,0.999857112
E38000135,NHS Oldham CCG,E08000004,Oldham,14227.42311,14234.49173,1,5818,5818,1
E38000080,"NHS Heywood, Middleton and Rochdale CCG",E08000005,Rochdale,15801.87758,15812.81751,1,5648,5648,1
E38000143,NHS Salford CCG,E08000006,Salford,9712.694273,9719.727883,1,6433,6433,1
E38000174,NHS Stockport CCG,E08000007,Stockport,12597.99593,12604.02789,1,6737,6737,1
E38000182,NHS Tameside and Glossop CCG,E08000008,Tameside,10309.76965,10315.43008,1,5948,5949,0.999831905
E38000187,NHS Trafford CCG,E08000009,Trafford,10598.30159,10604.47718,1,6446,6446,1
E38000205,NHS Wigan Borough CCG,E08000010,Wigan,18810.20097,18817.1013,1,7799,7799,1
E38000091,NHS Knowsley CCG,E08000011,Knowsley,8640.492871,8650.006076,1,3613,3613,1
E38000101,NHS Liverpool CCG,E08000012,Liverpool,13347.38648,13353.37405,1,10482,10482,1
E38000172,NHS St Helens CCG,E08000013,St. Helens,13629.15696,13635.8793,1,4785,4785,1
E38000170,NHS Southport and Formby CCG,E08000014,Sefton,11987.8495,20477.97247,0.59,2664,6620,0.402416918
E38000161,NHS South Sefton CCG,E08000014,Sefton,8482.320347,20477.97247,0.41,3955,6620,0.597432024
E38000208,NHS Wirral CCG,E08000015,Wirral,25474.46546,25639.90828,0.99,8607,8607,1
E38000006,NHS Barnsley CCG,E08000016,Barnsley,32888.93612,32907.75946,1,6713,6714,0.999851057
E38000044,NHS Doncaster CCG,E08000017,Doncaster,56836.94347,56855.12854,1,7889,7890,0.999873257
E38000141,NHS Rotherham CCG,E08000018,Rotherham,28637.33769,28653.43676,1,6367,6367,1
E38000146,NHS Sheffield CCG,E08000019,Sheffield,36775.94432,36793.00146,1,11616,11616,1
E38000212,NHS Newcastle Gateshead CCG,E08000021,Newcastle upon Tyne,11508.93853,11511.78027,1,6589,6589,1
E38000127,NHS North Tyneside CCG,E08000022,North Tyneside,8476.454993,8481.923439,1,4966,4966,1
E38000163,NHS South Tyneside CCG,E08000023,South Tyneside,6706.931274,6710.836981,1,3606,3606,1
E38000176,NHS Sunderland CCG,E08000024,Sunderland,13958.69478,13963.01349,1,6960,6960,1
E38000144,NHS Sandwell and West Birmingham CCG,E08000025,Birmingham,3293.140666,26779.10599,0.12,3710,21464,0.172847559
E38000220,NHS Birmingham and Solihull CCG,E08000025,Birmingham,23481.81416,26779.10599,0.88,17754,21464,0.827152441
E38000038,NHS Coventry and Rugby CCG,E08000026,Coventry,9860.682203,9863.905979,1,6255,6255,1
E38000046,NHS Dudley CCG,E08000027,Dudley,9789.360876,9795.824297,1,7202,7202,1
E38000144,NHS Sandwell and West Birmingham CCG,E08000028,Sandwell,8550.248909,8555.892816,1,6851,6851,1
E38000220,NHS Birmingham and Solihull CCG,E08000029,Solihull,17822.40613,17828.21159,1,4645,4645,1
E38000221,NHS Berkshire West CCG,E06000038,Reading,4039.297284,4039.799183,1,3739,3739,1
E38000167,NHS Southampton CCG,E06000045,Southampton,5635.431284,5638.516484,1,5816,5816,1
